# 
# 05/11/2026 01:18:06
# The parameters defined in the project are:
# ,P1 - Force X Component [N],P3 - Force Z Component [N],P29 - Mass [kg],P30 - K factor,P31 - Angle [degree],P4 - Equivalent Stress Maximum [MPa],P5 - Equivalent Stress Average [MPa],P6 - Maximum Principal Stress Maximum [MPa],P7 - Maximum Principal Stress Minimum [MPa],P8 - Maximum Principal Stress Average [MPa],P9 - Equivalent Stress Minimum [MPa],P16 - Total Deformation Maximum [mm],P26 - Safety Factor (neck) Minimum,P27 - Safety Factor (STEM 2) Minimum,P28 - Safety Factor (STEM 1) Minimum
# 
# The following header line defines the name of the columns by reference to the parameters.
Name,P1,P3,P29,P30,P31,P4,P5,P6,P7,P8,P9,P16,P26,P27,P28
DP 64,2028.8,357.73,60,3.5,10,586.98352696062591,11.776066926352389,625.43867322001449,-162.59433868468307,5.5194936143440581,8.0262077066608045E-10,0.81132656001167791,1.4088981411150812,3.44815522800831,1.508919755111511
DP 65,1935.86,704.6,60,3.5,20,517.24677392276556,10.227788110096341,528.42320726336163,-145.68914192989268,4.5908678588362823,1.1912396667701673E-09,0.67603677201177315,1.5988499913263559,4.9088936877577654,1.7136559888783434
DP 66,2354.4,0,60,4,0,730.15626566034484,14.869073044682796,803.94328189031842,-199.32861261435252,7.204304837211728,1.5793761488646423E-09,1.053773900618888,1.1326342577531274,2.37986284868841,1.21230083658646
DP 67,2318.63,408.84,60,4,10,670.83808145923558,13.45835497258653,714.78646549633243,-185.82207317582095,6.3079862290222328,7.8219103960708677E-10,0.9272294260294931,1.2327863054540289,3.0171438533122816,1.3203052605513843
DP 68,2212.41,805.25,60,4,20,591.13956167653589,11.688911123382079,603.91308848107292,-166.50193840952429,5.2467147928430107,7.1963652890754025E-10,0.77261474280270193,1.3989928159342582,4.2952602085376421,1.4994478984429722
DP 69,2648.7,0,60,4.5,0,821.42576438729213,16.727707178114532,904.43618079216878,-224.24468823468578,8.1048429509615989,1.6617156876270177E-09,1.185495682534571,1.0067860491530423,2.1154335999248497,1.0776007780835577
DP 70,2608.46,459.94,60,4.5,10,754.69379683839122,15.140671425056215,804.13613837682681,-209.05006943493848,7.0964978031084849,8.705073167349782E-10,1.0431350118311777,1.0958086623535508,2.6818968185129286,1.173603144673623
DP 71,2488.96,905.91,60,4.5,20,665.031191164149,13.15000700832452,679.40109428877429,-187.31447158006441,5.90254350105093,7.6226876253728063E-10,0.86918999746837011,1.2435506950468318,3.8180233797749548,1.3328442600303552
DP 72,2943,0,60,5,0,912.69530323134188,18.586341315857961,1004.9290852621643,-249.16076273702626,9.0053810873296243,1.6498487365805185E-09,1.317217464450734,0.9061074348383924,1.9038902415180765,0.96984070630155417
DP 73,2898.29,511.05,60,5,10,838.54837105226591,16.822959476581541,893.48395416269864,-232.27780203645031,7.8849904334106693,1.0352635538727809E-09,1.15903787866154,0.98622813966262424,2.4137125752088595,1.0562432433659823
